Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
AL1001,Alabama,AL,01,1,background checks,private sales,handgun,,,,,,,,,No law requiring background checks for private sales of handguns,,,,,1,,,,,
AL1002,Alabama,AL,01,1,background checks,sales from dealer,handgun,,,,,,,,,No law requiring background checks for sales from dealers of handguns,,,,,1,,,,,
AL1003,Alabama,AL,01,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify,1975-01-01,"Not sure about day + month, so using January 1.",1975,1,1,Ala. Code § 13A-11-75,"The sheriff of a county, upon the application of any person residing in that county, within 30 days from receipt of a complete application and accompanying fee, shall issue or renew a permit for such person to carry a pistol in a vehicle or concealed on or about his or her person within this state for one to five year increments, as requested by the person seeking the permit, from date of issue, unless the sheriff determines that the person is prohibited from the possession of a pistol or firearm pursuant to state or federal law, or has a reasonable suspicion that the person may use a weapon unlawfully or in such other manner that would endanger the person's self or others. [goes on to list what sheriff may consider]",,,,,1,,,"Disagreement between experts here. 1975 law can be read as ""may issue,"" but was enforced as ""shall issue."" Vernick and Hepburn (2003) characterize as ""may issue,"" but most consider it ""shall issue"" since the 1970s. 2006 law changed wording to ""may issue,"" but that didn't change the enforcement. See Ala. Code § 13-6-155 for 1975 version of the law.",,
AL1004,Alabama,AL,01,3,castle doctrine,,handgun and long gun,Permissive,Modify,1978-05-16,,1978,5,16,"Acts 1977, No. 607, § 620(2)",A person may use deadly physical force under the circumstances set forth in subsection (1) of this section only: (a) In defense of a person a provided in § 610 of this chapter (Justification: Use of Force in Defense of a Person): or (b) When he reasonably believes it is necessary to prevent the commission of arson in the first or second degree by the trespasser,2006-06-01,2006,6,1,1,,,,,
AL1005,Alabama,AL,01,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify,2006-06-01,,2006,6,1,Ala. Code § 13A-3-23(b),"A person who is justified under subsection (a) in using physical force, including deadly physical force, and who is not engaged in an unlawful activity and is in any place where he or she has the right to be has no duty to retreat and has the right to stand his or her ground.",,,,,,,,,,
AL1006,Alabama,AL,01,4,child access laws,negligent storage,handgun and long gun,,,,,,,,,No law imposing child access laws - negligent storage (CAP),,,,,1,,,,,
AL1007,Alabama,AL,01,5,dealer license,,handgun,Restrictive,Implement,1951-09-11,,1951,9,11,"Ala. Code §§ 13A-11-78, 13A-11-79","Section 1. That Article 2, Chapter 40, of Title 14 of the 1940 Code of Alabama, be and the same is hereby amended to read as follows: [...] Section 180. Dealers to be licensed. -- No retail dealer shall sell or otherwise transfer, or expose for sale or transfer, or have in his possession with intent to sell, or otherwise transfer, any pistol without being licensed and hereinafter provided. Section 181. Dealer's licenses, by whom granted and conditions thereof.-The duly constituted licensing authorities of any city, town or political subdivision of this state may grant licenses in forms prescribed by the secretary of state, effective for not more than one year from date of issue, permitting the licensee to sell pistols at retail within this state subject to the following conditions in addition to those specified in section 179 of this title, for breach of any of which the license shall be forfeited and the licensee subject to punishment as provided in this article. The business shall be carried on only in the building designated in the license. The license or a copy thereof, certified by the issuing authority, shall be displayed on the premises where it can easily be read. No pistol shall be sold in violation of any provision of this article, nor shall a pistol be sold under any circumstances unless the purchaser is personally known to the seller or shall present clear evidence of his identity. A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the secretary of state and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall within six hours be sent by registered mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the duplicate the dealer shall within seven days send to the secretary of state; the triplicate the dealer shall retain for six years. No pistol or imitation thereof or placard advertising the sale thereof
shall be displayed in any part of any premises where it can readily be seen from the outside. The fee for issuing said license shall be fifty cents which fee shall be paid into the state treasury.",,,,,1,,,"See 1940 Law, tit. 14, Ch. 40, Art. 2.",,
AL1008,Alabama,AL,01,5,dealer license,,long gun,,,,,,,,,No law requiring dealer license for long guns,,,,,1,,,,,
AL1009,Alabama,AL,01,7,minimum age,youth possession,handgun,,,,,,,,,No law imposing minimum age for youth possession of handguns,2015-10-01,2015,10,1,1,,,,,H
AL1010,Alabama,AL,01,7,minimum age,purchase and sale,long gun,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,,,,1,,,,,H
AL1011,Alabama,AL,01,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1936-10-01,,1936,10,1,Ala. Code §§ 13A-11-57; 13A-11-76,"§ 13A-11-57(a) Any person who sells, gives or lends to any minor any pistol , except under the circumstances provided in Section.
13A-11-72, bowie knife, or other knife of like kind or description, shall, on conviction, be fined not less than fifty dollars ($ 50) nor more than five hundred dollars ($ 500).",,,,,1,18,,"2015 statutory amendments added exceptions listed in Ala. Code § 13A-11-72(f) & (g) include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""minor"" is in Alabama for purposes of gun laws.",Not included on the Giffords Law Center to Prevent Gun Violence (undated) website.,
AL1012,Alabama,AL,01,7,minimum age,youth possession,handgun,Restrictive,Implement,2015-10-01,,2015,10,1,Ala. Code § 13A-11-72,"No person who is a minor, except under the circumstances provided in this section, a drug addict, or an habitual drunkard shall own a pistol or have one in his or her possession or under his or her control.",,,,,,18,,"Restricted to pistols only. Exceptions include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""minor"" is in Alabama for purposes of gun laws.",,
AL1014,Alabama,AL,01,8,open carry,not restricted,handgun,,,,,,,,,No law restricting open carry for handguns,,,,,1,,,,,
AL1015,Alabama,AL,01,11,registration,,handgun,Restrictive,Implement,1936-10-01,,1936,10,1,"Ala. Code §§ 13A-11-79, 40-12-143","§ 13A-11-79 ... A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the Secretary of State and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall be sent within six hours by registered or certified mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the dealer shall within seven days send the duplicate to the Secretary of State; and the dealer shall retain the triplicate for six years. ...",2015-09-01,2015,9,1,1,,,,,
AL1016,Alabama,AL,01,11,registration,,handgun,Permissive,Repeal,2015-09-01,,2015,9,1,Ala. Code § 13A-11-79(b),"(b) All records of pistol, revolver, or maxim silencer sales that are maintained or in the custody of dealers, the chief
of police, the sheriff, or the Secretary of State pursuant to this section or Section 40-12-143, including any records or
databases compiled as a result of or based on the records or information so maintained or received, shall be permanently
removed and destroyed without reproduction of the removed documents no later than February 28, 2016. This section
does not apply to any record necessary for an active investigation or ongoing prosecution.",,,,,,,,,,
AL1017,Alabama,AL,01,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
AL1018,Alabama,AL,01,13,waiting period,,handgun,Restrictive,Implement,1951-09-11,,1951,9,11,"Act. No. 784, § 179 (1950)",No seller shall deliver a pistol to the purchaser thereof until forty-eight hours shall have elapsed.,2000-08-01,2000,8,1,1,,2,,,
AL1019,Alabama,AL,01,13,waiting period,,handgun,Permissive,Repeal,2000-08-01,,2000,8,1,Code of Ala. § 13A-11-77,Repealed.,,,,,,,,,,G
AL1020,Alabama,AL,01,1,background checks,private sales,long gun,,,,,,,,,No law requiring background checks for private sales of long guns,,,,,1,,,,,
AL1021,Alabama,AL,01,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,,,,1,,,,,
AL1022,Alabama,AL,01,1,background checks,sales from dealer,long gun,,,,,,,,,No law requiring background checks for sales from dealers of long guns,,,,,1,,,,,
AL1023,Alabama,AL,01,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement,2015-06-04,,2015,6,4,Ala. Code § 13A-11-72(a),"No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(14), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a pistol firearm or have one in his or her possession or under his or her control.
",,,,,,,,"The restraining order must ""explicitly prohibits the use, attempted use, or threatened use of physical force against the qualified individual or child that would reasonably be expected to cause bodily injury"" for the firearm part of the law to go into effect and the person must be a spouse, former spouse, be cohabitating or previously cohabitated, or the child of anyone who fits this description in relation to the perpetrator for the gun law to go into effect.",,
