Law ID,State,ST,Year,Suicides,Homicides,len_text,sentiment_score,Income,Pop,DEM_Perc,GOP_Perc,HuntLic,UniqueID,GunsAmmo,avg_own_est,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
AL1005,Alabama,AL,2006,8.42,7.27,150,0.589477599,37952,4628981,0.371,0.629,0.235137633,Alabama_2006,-0.205559421,0.418361625,8.163333333,6.72,8.846666667,7.56
AL1012,Alabama,AL,2015,10.34,8.43,116,0.621130407,44509,4854803,0.388,0.612,0.340830801,Alabama_2015,-0.290597341,0.544806024,9.77,6.583333333,10.99333333,10.09333333
AL1016,Alabama,AL,2015,10.34,8.43,392,0.588369787,44509,4854803,0.388,0.612,0.340830801,Alabama_2015,-0.290597341,0.544806024,9.77,6.583333333,10.99333333,10.09333333
AL1023,Alabama,AL,2015,10.34,8.43,262,0.514143705,44509,4854803,0.388,0.612,0.340830801,Alabama_2015,-0.290597341,0.544806024,9.77,6.583333333,10.99333333,10.09333333
AL1024,Alabama,AL,2015,10.34,8.43,577,0.548626781,44509,4854803,0.388,0.612,0.340830801,Alabama_2015,-0.290597341,0.544806024,9.77,6.583333333,10.99333333,10.09333333
AL1025,Alabama,AL,2015,10.34,8.43,714,0.592397273,44509,4854803,0.388,0.612,0.340830801,Alabama_2015,-0.290597341,0.544806024,9.77,6.583333333,10.99333333,10.09333333
AL1031,Alabama,AL,1994,9.39,9.83,1133,0.547288954,27196,4232965,0.462,0.538,0.244708732,Alabama_1994,-0.611365934,0.545011063,9.966666667,9.49,9.37,8.686666667
AL1032,Alabama,AL,1998,9.84,7.29,755,0.561921239,36266,4351037,0.463,0.537,0.24371378,Alabama_1998,0.004365336,0.546264369,9.37,8.686666667,9.283333333,6.633333333
AL1042,Alabama,AL,2013,9.82,6.85,508,0.58987236,47320,4831586,0.388,0.612,0.344331566,Alabama_2013,-0.172468696,0.598502599,9.39,6.24,10.18,8.193333333
AK1003,Alaska,AK,1994,15.57,3.33,1192,0.555566192,45367,600624,0.434,0.566,0.528531807,Alaska_1994,3.934617582,0.523671224,10.56,3.08,14.05,4.8
AK1004,Alaska,AK,2003,13.2,4.62,611,0.537887812,51837,648414,0.321,0.679,0.534675174,Alaska_2003,3.192350151,0.575137368,13.36,3.356666667,13.22666667,3.41
AK1050,Alaska,AK,2013,16.65,2.27,527,0.544845521,72472,737626,0.427,0.573,0.574725998,Alaska_2013,1.807937576,0.609210936,14.04333333,2.956666667,15.40666667,4.656666667
