Year,ST,Permissive,Restrictive,background checks,carrying a concealed weapon (ccw),castle doctrine,child access laws,dealer license,firearm sales restrictions,minimum age,open carry,permit to purchase,prohibited possessor,registration,safety training required,waiting period,Implement,Modify,Repeal,universl,permit,sentiment_score,HuntLic,GunsAmmo,BackChk,avg_own_est,Suicides,Homicides
1992.0,AK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9934521913528442,0.528465379,3.669083615,0.8501644554000001,0.5155620455000001,10.94,3.56
1994.0,AK,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.9878954092661539,0.528531807,3.934617582,1.2242677274,0.523671224,15.57,3.33
1996.0,AK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9926924705505371,0.563529871,3.428167822,1.3324621650000001,0.564655738,15.02,4.46
1998.0,AK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9764666557312012,0.552303921,3.266201217,1.1412923014,0.41911213,14.65,4.34
2003.0,AK,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.93960040807724,0.534675174,3.192350151,1.357338546,0.45719074546666666,13.2,4.62
2006.0,AK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.975943922996521,0.523205688,2.481006825,1.690126522,0.4904466632666667,12.06,4.04
2013.0,AK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9733625650405884,0.574725998,1.807937576,2.101246352,0.609210936,16.65,2.27
1994.0,AL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9986502528190613,0.244708732,-0.611365934,0.26993961720000004,0.545011063,9.39,9.83
1998.0,AL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9770532846450806,0.24371378,0.004365336,0.374211054,0.546264369,9.84,7.29
2000.0,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9758800268173218,0.243388897,-0.15688276,0.849505839,0.5391565066666667,9.55,6.58
2006.0,AL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5464410185813904,0.235137633,-0.205559421,0.840486489,0.418361625,8.42,7.27
2015.0,AL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.9925297498703003,0.340830801,-0.290597341,1.566968962,0.544806024,10.34,8.43
1994.0,AR,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.9986502528190613,0.424175822,-0.123750118,0.5636920524,0.572602297,10.46,8.17
1995.0,AR,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9329614639282227,0.424544541,-0.119207994,0.4224627114,0.49708261049999997,10.41,8.35
1997.0,AR,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.944753497838974,0.435839609,0.094603968,0.4224627114,0.5931901900000001,9.34,7.61
