Law ID,ST,Law Class,Handguns or Long Guns,Effect,Type of Change,Year,Suicides,Homicides,Content,sentiment_score,sentiment_label,s_before,s_after,Sui_Diff,h_before,h_after,Hom_Diff,Num_Laws,State,universl,permit,HuntLic,GunsAmmo,BackChk,avg_own_est
AL1005,AL,castle doctrine,handgun and long gun,Permissive,Modify,2006,8.42,7.27,A person who is justified under subsection   in using physical force  including deadly physical force  and who is not engaged in an unlawful activity and is in any place where he or she has the right to be has no duty to retreat and has the right to stand his or her ground ,0.5464410185813904,NEGATIVE,9.201333333333332,9.78,6.3,7.881333333333333,7.776666666666666,-1.3,1,Alabama,0.0,0.0,0.235137633,-0.205559421,0.840486489,0.418361625
AL1012,AL,minimum age,handgun,Restrictive,Implement,2015,10.34,8.43,No person who is a minor  except under the circumstances provided in this section  a drug addict  or an habitual drunkard shall own a pistol or have one in his or her possession or under his or her control ,0.9889511466026306,NEGATIVE,9.186666666666667,10.993333333333332,19.7,7.504166666666667,10.093333333333334,34.5,5,Alabama,0.0,0.0,0.340830801,-0.290597341,1.566968962,0.544806024
AL1016,AL,registration,handgun,Permissive,Repeal,2015,10.34,8.43,  All records of pistol  revolver  or maxim silencer sales that are maintained or in the custody of dealers  the chief of police  the sheriff  or the Secretary of State pursuant to this section or Section        including any records or databases compiled as a result of or based on the records or information so maintained or received  shall be permanently removed and destroyed without reproduction of the removed documents no later than        This section does not apply to any record necessary for an active investigation or ongoing prosecution ,0.9995747208595276,NEGATIVE,9.186666666666667,10.993333333333332,19.7,7.504166666666667,10.093333333333334,34.5,5,Alabama,0.0,0.0,0.340830801,-0.290597341,1.566968962,0.544806024
AL1019,AL,waiting period,handgun,Permissive,Repeal,2000,9.55,6.58,Repealed ,0.9758800268173218,NEGATIVE,9.664444444444445,9.292777777777777,-3.8,8.68888888888889,7.446111111111112,-14.3,1,Alabama,0.0,0.0,0.243388897,-0.15688276,0.849505839,0.5391565066666667
AL1023,AL,prohibited possessor,handgun and long gun,Restrictive,Implement,2015,10.34,8.43,No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence  misdemeanor offense of domestic violence  violent offense as listed in Section         anyone who is subject to a valid protection order for domestic abuse  or anyone of unsound mind shall own a pistol firearm or have one in his or her possession or under his or her control  ,0.9889625906944275,NEGATIVE,9.186666666666667,10.993333333333332,19.7,7.504166666666667,10.093333333333334,34.5,5,Alabama,0.0,0.0,0.340830801,-0.290597341,1.566968962,0.544806024
AL1024,AL,prohibited possessor,handgun and long gun,Restrictive,Implement,2015,10.34,8.43,  Found by a court  board  commission  or other lawful authority that  as a result of marked subnormal intelligence  mental illness  incompetency  condition  or disease  is a danger to himself or herself or others or lacks the mental capacity to contract or manage his or her own affairs  ,0.9994297623634338,NEGATIVE,9.186666666666667,10.993333333333332,19.7,7.504166666666667,10.093333333333334,34.5,5,Alabama,0.0,0.0,0.340830801,-0.290597341,1.566968962,0.544806024
AL1025,AL,prohibited possessor,handgun and long gun,Restrictive,Implement,2015,10.34,8.43,  Involuntarily committed for a final commitment for inpatient treatment to the Department of Mental Health or a Veterans  Administration hospital by a court after a hearing ,0.9857305288314819,NEGATIVE,9.186666666666667,10.993333333333332,19.7,7.504166666666667,10.093333333333334,34.5,5,Alabama,0.0,0.0,0.340830801,-0.290597341,1.566968962,0.544806024
AL1031,AL,background checks,handgun,Restrictive,Implement,1994,9.39,9.83,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless     the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law ,0.9986502528190613,NEGATIVE,9.966666666666669,9.354583333333332,-6.1,9.49,7.521249999999999,-20.7,1,Alabama,0.0,0.0,0.244708732,-0.611365934,,0.545011063
AL1032,AL,background checks,long gun,Restrictive,Implement,1998,9.84,7.29,Beginning on the date that is   days after the Attorney General notifies licensees under section    of the transferee containing a photograph of the transferee ,0.9770532846450806,NEGATIVE,9.62857142857143,9.328,-3.1,9.194285714285714,7.357999999999999,-20.0,1,Alabama,0.0,0.0,0.24371378,0.004365336,,0.546264369
AK1003,AK,carrying a concealed weapon (ccw),handgun,Permissive,Modify,1994,15.57,3.33,Sec         Permit to carry a concealed handgun    pays the application fee required by AS       ,0.9663857221603394,NEGATIVE,10.56,14.1075,33.6,3.08,3.875,25.8,3,Alaska,0.0,0.0,0.528531807,3.934617582,,0.523671224
AK1004,AK,carrying a concealed weapon (ccw),handgun,Permissive,Modify,2003,13.2,4.62,         knowingly possesses a loaded firearm on the person in any place where intoxicating liquor is sold for consumption on the premises ,0.93960040807724,NEGATIVE,12.887499999999998,14.532000000000002,12.8,3.8241666666666667,3.670666666666667,-4.0,1,Alaska,0.0,0.0,0.534675174,3.192350151,1.357338546,
AK1050,AK,castle doctrine,handgun and long gun,Permissive,Modify,2013,16.65,2.27,A person may not use deadly force under this section if the person knows that  with complete personal safety and with complete safety as to others being defended  the person can avoid the necessity of using deadly force by leaving the area of the encounter  except there is no duty to leave the area if the person is    in any other place where the person has a right to be  ,0.9733625650405884,NEGATIVE,13.285454545454543,15.38,15.8,3.5472727272727274,5.052,42.4,1,Alaska,0.0,0.0,0.574725998,1.807937576,2.101246352,0.609210936
AK1006,AK,castle doctrine,handgun and long gun,Permissive,Modify,2006,12.06,4.04,A person may not use deadly force under this section if the person knows that  with complete personal safety and with complete safety as to others being defended  the person can avoid the necessity of using deadly force by leaving the area of the encounter  except there is no duty to leave the area if the person is    protecting a child or a member of the person s household ,0.975943922996521,NEGATIVE,13.03133333333333,14.858333333333329,14.0,3.7800000000000002,3.7358333333333333,-1.2,1,Alaska,0.0,0.0,0.523205688,2.481006825,1.690126522,
AK1011,AK,minimum age,long gun,Restrictive,Implement,1992,10.94,3.56,A person commits the crime of misconduct involving weapons in the fourth degree if the person     knowingly sells a firearm or a defensive weapon to a person under   years of age,0.9934521913528442,NEGATIVE,8.85,14.07846153846154,59.1,2.84,3.8142307692307686,34.3,2,Alaska,0.0,0.0,0.528465379,3.669083615,,
AK1016,AK,minimum age,handgun,Restrictive,Implement,1992,10.94,3.56,A person commits the crime of misconduct involving weapons in the fourth degree if the person     knowingly sells a firearm or a defensive weapon to a person under   years of age,0.9934521913528442,NEGATIVE,8.85,14.07846153846154,59.1,2.84,3.8142307692307686,34.3,2,Alaska,0.0,0.0,0.528465379,3.669083615,,
AK1023,AK,prohibited possessor,handgun and long gun,Restrictive,Implement,1996,15.02,4.46,       direct the respondent to surrender any firearm owned or possessed by the respondent if the court finds that the respondent was in the actual possession of or used a firearm during the commission of the domestic violence ,0.9926924705505371,NEGATIVE,11.968,14.135000000000002,18.1,3.6079999999999997,3.7759090909090904,4.7,1,Alaska,0.0,0.0,0.563529871,3.428167822,,0.564655738
