Year,State,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
2017,District of Columbia,,,,
2018,Vermont,9.29,1.76,,
2018,Vermont,9.29,1.76,,
1994,District of Columbia,,,,
1994,District of Columbia,,,,
2016,District of Columbia,,,,
2013,District of Columbia,,,,
2008,District of Columbia,,,,
1998,District of Columbia,,,,
1994,District of Columbia,,,,
2009,District of Columbia,,,,
2020,Hawaii,1.86,1.58,,
2009,District of Columbia,,,,
2018,Vermont,9.29,1.76,,
2019,District of Columbia,,,,
2015,District of Columbia,,,,
2009,District of Columbia,,,,
2009,District of Columbia,,,,
2015,District of Columbia,,,,
1991,District of Columbia,,,,
2009,District of Columbia,,,,
1996,District of Columbia,,,,
2018,Vermont,9.29,1.76,,
2018,Vermont,9.29,1.76,,
2018,Vermont,9.29,1.76,,
2019,District of Columbia,,,,
2018,Vermont,9.29,1.76,,
2018,Oregon,9.223333333,2.04,,
2018,Oregon,9.223333333,2.04,,
2006,Alabama,8.163333333,6.72,8.846666667,7.56
2014,Oregon,8.81,1.46,9.223333333,2.04
2020,Oregon,9.62,1.745,,
2019,Oregon,9.52,1.803333333,,
2020,Hawaii,1.86,1.58,,
2004,Ohio,5.506666667,2.933333333,5.466666667,3.826666667
2015,Oregon,9.263333333,1.356666667,9.52,1.803333333
2001,Oregon,9.07,2.036666667,8.32,1.7
2015,Oregon,9.263333333,1.356666667,9.52,1.803333333
2019,Oklahoma,11.66666667,5.813333333,,
2018,Idaho,13.29,1.343333333,,
2006,Oklahoma,8.373333333,3.793333333,9.13,4.136666667
2004,Ohio,5.506666667,2.933333333,5.466666667,3.826666667
2008,Ohio,5.466666667,3.826666667,5.646666667,3.676666667
2011,Pennsylvania,5.8,4.186666667,6.286666667,4.18
2004,Ohio,5.506666667,2.933333333,5.466666667,3.826666667
2008,Ohio,5.466666667,3.826666667,5.646666667,3.676666667
2004,Ohio,5.506666667,2.933333333,5.466666667,3.826666667
2006,Indiana,6.48,3.863333333,6.64,3.886666667
