FIP,Year,State,universl,permit,HuntLic,GunsAmmo,BackChk,ST,avg_own_est,Suicides,Homicides
1,1991,Alabama,0,0,0.249209578,-0.806069029,,AL,0.6580293985000001,10.38,9.9
1,1992,Alabama,0,0,0.248808824,-0.823236144,,AL,,9.46,9.08
1,1993,Alabama,0,0,0.247217095,-0.631046623,,AL,0.6122830109999999,10.06,9.49
1,1994,Alabama,0,0,0.244708732,-0.611365934,,AL,0.545011063,9.39,9.83
1,1995,Alabama,0,0,0.250193779,-0.325589519,,AL,,9.92,9.07
1,1996,Alabama,0,0,0.247112829,-0.121917923,,AL,0.5360922795,9.24,8.64
1,1997,Alabama,0,0,0.245158404,-0.152237862,,AL,0.582367198,8.95,8.35
1,1998,Alabama,0,0,0.24371378,0.004365336,,AL,0.546264369,9.84,7.29
1,1999,Alabama,0,0,0.240077994,-0.280923069,0.977564585,AL,0.520277205,9.74,6.55
1,2000,Alabama,0,0,0.243388897,-0.15688276,0.849505839,AL,0.5391565066666667,9.55,6.58
1,2001,Alabama,0,0,0.244352896,-0.156249474,0.882527128,AL,0.51973616,8.56,6.77
1,2002,Alabama,0,0,0.240564278,-0.16241798,0.951910469,AL,0.5084346935,8.44,6.51
1,2003,Alabama,0,0,0.237965596,-0.193514435,0.971231241,AL,0.495891685,8.67,7.16
1,2004,Alabama,0,0,0.239216106,-0.19681841,0.950489514,AL,0.5130027226666667,8.0,5.87
1,2005,Alabama,0,0,0.236232687,-0.233782162,0.928751053,AL,,7.82,7.13
1,2006,Alabama,0,0,0.235137633,-0.205559421,0.840486489,AL,0.418361625,8.42,7.27
1,2007,Alabama,0,0,0.228387356,-0.211955917,0.872470243,AL,0.517508866,8.17,8.25
1,2008,Alabama,0,0,0.224664321,-0.306259233,1.069223257,AL,0.480169892,8.74,7.59
1,2009,Alabama,0,0,0.225951896,-0.18575248,1.146498247,AL,0.489706175,9.63,6.84
1,2010,Alabama,0,0,0.225766688,-0.250093465,1.057549554,AL,0.4388035455,9.24,5.97
1,2011,Alabama,0,0,0.349485328,-0.2601187,0.975045359,AL,0.536971267,8.95,6.21
1,2012,Alabama,0,0,0.344019977,-0.215208155,1.066322611,AL,0.562189142,9.98,6.54
1,2013,Alabama,0,0,0.344331566,-0.172468696,1.20204027,AL,0.598502599,9.82,6.85
1,2014,Alabama,0,0,0.340475174,-0.196054207,1.242361881,AL,0.467334546,9.51,6.36
1,2015,Alabama,0,0,0.340830801,-0.290597341,1.566968962,AL,0.544806024,10.34,8.43
1,2016,Alabama,0,0,0.341757544,-0.219699186,0.270898447,AL,0.5604043095,10.69,9.79
2,1991,Alaska,0,0,0.552979892,3.639213177,,AK,,8.85,2.84
2,1992,Alaska,0,0,0.528465379,3.669083615,,AK,,10.94,3.56
2,1993,Alaska,0,0,0.527466071,3.889746139,,AK,,11.89,2.84
2,1994,Alaska,0,0,0.528531807,3.934617582,,AK,0.523671224,15.57,3.33
2,1995,Alaska,0,0,0.554247477,3.690204196,,AK,,12.59,5.47
2,1996,Alaska,0,0,0.563529871,3.428167822,,AK,0.564655738,15.02,4.46
2,1997,Alaska,0,0,0.556376262,3.377325912,,AK,,14.54,4.47
2,1998,Alaska,0,0,0.552303921,3.266201217,,AK,0.41911213,14.65,4.34
2,1999,Alaska,0,0,0.537979869,2.482519081,1.643390963,AK,,10.52,4.51
2,2000,Alaska,0,0,0.544251007,3.188878052,1.554777238,AK,0.483289686,14.98,2.4
2,2001,Alaska,0,0,0.521891274,3.001938534,1.459147672,AK,0.616017899,10.31,3.81
2,2002,Alaska,0,0,0.535283778,3.056847005,1.389090604,AK,0.5429949455,14.79,3.86
2,2003,Alaska,0,0,0.534675174,3.192350151,1.357338546,AK,,13.2,4.62
2,2004,Alaska,0,0,0.52835841,3.179042731,1.526293646,AK,0.58039848,14.19,2.91
2,2005,Alaska,0,0,0.527194505,2.988743466,1.721197057,AK,,13.43,3.28
2,2006,Alaska,0,0,0.523205688,2.481006825,1.690126522,AK,,12.06,4.04
2,2007,Alaska,0,0,0.524020965,2.787243995,1.898315811,AK,,14.57,3.51
2,2008,Alaska,0,0,0.520731237,2.316651189,2.242496793,AK,,17.12,2.22
2,2009,Alaska,0,0,0.516451807,2.530255129,2.074411857,AK,,10.93,2.7
2,2010,Alaska,0,0,0.529235828,2.362687159,2.370964485,AK,,15.43,4.17
2,2011,Alaska,0,0,0.541219832,2.31315926,2.122774506,AK,,13.45,2.42
2,2012,Alaska,0,0,0.65882709,2.122769143,2.017066259,AK,0.654303234,13.25,2.28
2,2013,Alaska,0,0,0.574725998,1.807937576,2.101246352,AK,0.609210936,16.65,2.27
2,2014,Alaska,0,0,0.581888265,1.62285787,2.310735011,AK,,15.3,2.61
2,2015,Alaska,0,0,0.606060979,1.585440173,1.951905642,AK,0.605176258,16.48,5.22
2,2016,Alaska,0,0,0.657790577,0.740571558,1.937272123,AK,0.666124712,14.44,6.14
4,1991,Arizona,0,0,0.288186641,0.779179854,,AZ,0.570284811,11.99,5.57
4,1992,Arizona,0,0,0.285307227,0.71908873,,AZ,,11.41,5.99
4,1993,Arizona,0,0,0.287109845,0.703305352,,AZ,0.4816122745,12.75,5.73
4,1994,Arizona,0,0,0.285970711,0.595246727,,AZ,0.424661512,12.29,7.38
4,1995,Arizona,0,0,0.27835351,0.499249438,,AZ,,12.37,8.46
4,1996,Arizona,0,0,0.267651527,0.318777335,,AZ,0.37894407799999996,10.87,6.48
4,1997,Arizona,0,0,0.25971398,0.254546347,,AZ,0.4609083175,10.54,5.86
4,1998,Arizona,0,0,0.253215494,0.291716181,,AZ,0.399501561,10.99,5.82
4,1999,Arizona,0,0,0.256541274,-0.23081002,-0.291635934,AZ,0.386336388,9.6,5.88
4,2000,Arizona,0,0,0.273809177,0.21032852,-0.323936889,AZ,0.41525033100000003,9.69,5.27
4,2001,Arizona,0,0,0.271896479,0.05891567,-0.414400476,AZ,0.328582668,9.0,6.13
4,2002,Arizona,0,0,0.262135934,-0.083430531,-0.508898119,AZ,0.3582873835,10.4,6.49
4,2003,Arizona,0,0,0.256321913,0.117731776,-0.517438504,AZ,0.423838982,8.88,5.69
4,2004,Arizona,0,0,0.25612749,0.071288367,-0.470046983,AZ,0.37218202333333333,9.06,5.93
4,2005,Arizona,0,0,0.24900254,0.173589365,-0.357072094,AZ,,8.83,6.44
