State,index,Pop,Year
Alabama,0,4091025,1991
Alaska,1,569273,1991
Arizona,2,3762394,1991
Arkansas,3,2370666,1991
California,4,30414114,1991
Colorado,5,3367567,1991
Connecticut,6,3288640,1991
Delaware,7,680495,1991
District of Columbia,8,593239,1991
Florida,9,13289497,1991
Georgia,10,6621279,1991
Hawaii,11,1131412,1991
Idaho,12,1038915,1991
Illinois,13,11535973,1991
Indiana,14,5602062,1991
Iowa,15,2791227,1991
Kansas,16,2495209,1991
Kentucky,17,3714686,1991
Louisiana,18,4240950,1991
Maine,19,1235439,1991
Maryland,20,4856176,1991
Massachusetts,21,5998652,1991
Michigan,22,9395022,1991
Minnesota,23,4427429,1991
Mississippi,24,2591230,1991
Missouri,25,5157770,1991
Montana,26,807837,1991
Nebraska,27,1590805,1991
Nevada,28,1285046,1991
New Hampshire,29,1107055,1991
New Jersey,30,7784269,1991
New Mexico,31,1547115,1991
New York,32,18029532,1991
North Carolina,33,6748135,1991
North Dakota,34,634199,1991
Ohio,35,10933683,1991
Oklahoma,36,3166471,1991
Oregon,37,2918745,1991
Pennsylvania,38,11943160,1991
Rhode Island,39,1003990,1991
South Carolina,40,3559470,1991
South Dakota,41,701445,1991
Tennessee,42,4946886,1991
Texas,43,17339904,1991
Utah,44,1771941,1991
Vermont,45,567141,1991
Virginia,46,6283853,1991
Washington,47,5013443,1991
West Virginia,48,1798212,1991
Wisconsin,49,4952675,1991
Wyoming,50,457739,1991
Alabama,0,4139269,1992
Alaska,1,587073,1992
Arizona,2,3867333,1992
Arkansas,3,2394098,1992
California,4,30875920,1992
Colorado,5,3459995,1992
Connecticut,6,3274997,1992
Delaware,7,690158,1992
District of Columbia,8,584183,1992
Florida,9,13504775,1992
Georgia,10,6759474,1992
Hawaii,11,1149926,1992
Idaho,12,1066490,1992
Illinois,13,11635197,1992
Indiana,14,5648649,1992
Iowa,15,2806923,1992
Kansas,16,2526042,1992
Kentucky,17,3756358,1992
Louisiana,18,4270849,1992
Maine,19,1235748,1992
Maryland,20,4902545,1992
Massachusetts,21,5993474,1992
Michigan,22,9470323,1992
Minnesota,23,4471503,1992
Mississippi,24,2610193,1992
Missouri,25,5193686,1992
Montana,26,822436,1992
Nebraska,27,1602406,1992
Nevada,28,1330694,1992
New Hampshire,29,1112766,1992
New Jersey,30,7827770,1992
New Mexico,31,1580750,1992
New York,32,18082032,1992
North Carolina,33,6831850,1992
North Dakota,34,635427,1992
Ohio,35,11007609,1992
Oklahoma,36,3204174,1992
Oregon,37,2973934,1992
Pennsylvania,38,11980819,1992
Rhode Island,39,1000571,1992
South Carolina,40,3600576,1992
South Dakota,41,708698,1992
Tennessee,42,5013999,1992
Texas,43,17650479,1992
Utah,44,1821498,1992
Vermont,45,570115,1992
Virginia,46,6383315,1992
Washington,47,5139011,1992
West Virginia,48,1805462,1992
Wisconsin,49,5004636,1992
Wyoming,50,463491,1992
Alabama,0,4193113,1993
Alaska,1,596993,1993
Arizona,2,3993390,1993
Arkansas,3,2423743,1993
California,4,31147208,1993
Colorado,5,3560884,1993
Connecticut,6,3272325,1993
Delaware,7,699475,1993
District of Columbia,8,576358,1993
Florida,9,13713593,1993
Georgia,10,6894092,1993
Hawaii,11,1161508,1993
Idaho,12,1101204,1993
Illinois,13,11725984,1993
Indiana,14,5701965,1993
Iowa,15,2820525,1993
Kansas,16,2547605,1993
Kentucky,17,3792288,1993
Louisiana,18,4284749,1993
Maine,19,1238256,1993
Maryland,20,4942504,1993
Massachusetts,21,6010884,1993
Michigan,22,9529240,1993
Minnesota,23,4521709,1993
Mississippi,24,2635574,1993
Missouri,25,5237757,1993
Montana,26,839876,1993
Nebraska,27,1612149,1993
Nevada,28,1380197,1993
New Hampshire,29,1122191,1993
New Jersey,30,7874891,1993
New Mexico,31,1614937,1993
New York,32,18140894,1993
North Carolina,33,6947412,1993
North Dakota,34,637229,1993
Ohio,35,11070385,1993
Oklahoma,36,3228829,1993
Oregon,37,3034490,1993
Pennsylvania,38,12022128,1993
Rhode Island,39,997852,1993
South Carolina,40,3634507,1993
South Dakota,41,716258,1993
Tennessee,42,5085666,1993
Texas,43,17996764,1993
Utah,44,1875993,1993
Vermont,45,574004,1993
Virginia,46,6464795,1993
Washington,47,5247704,1993
West Virginia,48,1816179,1993
Wisconsin,49,5055318,1993
Wyoming,50,469033,1993
Alabama,0,4232965,1994
Alaska,1,600624,1994
Arizona,2,4147560,1994
Arkansas,3,2450605,1994
California,4,31317179,1994
Colorado,5,3653910,1994
Connecticut,6,3268346,1994
Delaware,7,708416,1994
District of Columbia,8,564982,1994
Florida,9,13961798,1994
Georgia,10,7045900,1994
Hawaii,11,1173903,1994
Idaho,12,1135459,1994
Illinois,13,11804986,1994
Indiana,14,5745626,1994
Iowa,15,2829422,1994
Kansas,16,2569118,1994
Kentucky,17,3823215,1994
Louisiana,18,4306500,1994
Maine,19,1237687,1994
Maryland,20,4985411,1994
Massachusetts,21,6031352,1994
Michigan,22,9584481,1994
Minnesota,23,4566028,1994
Mississippi,24,2663450,1994
Missouri,25,5281206,1994
Montana,26,854923,1994
Nebraska,27,1621551,1994
Nevada,28,1456388,1994
New Hampshire,29,1133054,1994
New Jersey,30,7918796,1994
New Mexico,31,1653329,1994
New York,32,18156652,1994
North Carolina,33,7060959,1994
North Dakota,34,639762,1994
Ohio,35,11111451,1994
Oklahoma,36,3246119,1994
Oregon,37,3087142,1994
Pennsylvania,38,12042545,1994
Rhode Island,39,993412,1994
South Carolina,40,3666456,1994
South Dakota,41,723038,1994
Tennessee,42,5163016,1994
Texas,43,18338319,1994
Utah,44,1930436,1994
Vermont,45,578900,1994
Virginia,46,6536771,1994
Washington,47,5334896,1994
West Virginia,48,1818490,1994
Wisconsin,49,5095504,1994
Wyoming,50,474982,1994
Alabama,0,4262731,1995
Alaska,1,601345,1995
Arizona,2,4306908,1995
Arkansas,3,2480121,1995
California,4,31493525,1995
Colorado,5,3738061,1995
Connecticut,6,3265293,1995
